word	change (%)	opm BASE	opm INST	significant
laminate_NOUN	827.78	0.61	5.65	True
alike_ADV	827.78	0.61	5.65	True
biosphere_NOUN	827.78	1.22	11.30	True
notch_VERB	827.78	0.61	5.65	True
muciniphila_NOUN	827.78	0.61	5.65	True
ewe_NOUN	827.78	0.61	5.65	True
wd_NOUN	827.78	0.61	5.65	True
kawagutii_NOUN	827.78	0.61	5.65	True
cgmp_NOUN	827.78	0.61	5.65	True
bedding_ADJ	827.78	0.61	5.65	True
psychoactive_ADJ	827.78	0.61	5.65	True
aryldiazole_NOUN	827.78	0.61	5.65	True
ht2ars_NOUN	827.78	0.61	5.65	True
mineworker_NOUN	827.78	0.61	5.65	True
jail_NOUN	827.78	0.61	5.65	True
prioritize_VERB	810.38	9.74	88.70	True
thirdly_ADV	790.67	3.04	27.12	True
leverage_VERB	790.67	3.04	27.12	True
histamine_ADJ	781.39	1.22	10.73	True
workload_NOUN	735.00	1.83	15.25	True
judgmental_ADJ	735.00	0.61	5.08	True
fourthly_ADV	735.00	0.61	5.08	True
offset_VERB	735.00	0.61	5.08	True
epigenetic_NOUN	735.00	0.61	5.08	True
nanoparticle_VERB	735.00	0.61	5.08	True
oxysporum_NOUN	735.00	0.61	5.08	True
cholera_NOUN	735.00	0.61	5.08	True
monotonic_ADJ	735.00	0.61	5.08	True
pb_ADJ	735.00	0.61	5.08	True
epistasis_NOUN	735.00	1.22	10.17	True
payload_NOUN	735.00	0.61	5.08	True
cricket_NOUN	735.00	0.61	5.08	True
calving_NOUN	735.00	0.61	5.08	True
psychrotrophic_ADJ	735.00	0.61	5.08	True
clearing_NOUN	735.00	0.61	5.08	True
gestalt_NOUN	735.00	0.61	5.08	True
empathy_ADJ	735.00	0.61	5.08	True
biosecurity_NOUN	735.00	0.61	5.08	True
nitrogenase_NOUN	735.00	0.61	5.08	True
scar_VERB	735.00	0.61	5.08	True
warm_VERB	735.00	0.61	5.08	True
vegetate_VERB	735.00	0.61	5.08	True
fai_NOUN	735.00	0.61	5.08	True
abmd_NOUN	735.00	0.61	5.08	True
ats_ADJ	735.00	0.61	5.08	True
posturographic_ADJ	735.00	0.61	5.08	True
paramedic_NOUN	735.00	0.61	5.08	True
translatomic_NOUN	735.00	0.61	5.08	True
subproblem_NOUN	735.00	0.61	5.08	True
interrupt_VERB	735.00	0.61	5.08	True
bioformulation_NOUN	735.00	0.61	5.08	True
pooling_NOUN	735.00	0.61	5.08	True
msl_NOUN	735.00	0.61	5.08	True
dopant_NOUN	735.00	0.61	5.08	True
quasimetagenomic_ADJ	735.00	0.61	5.08	True
papaya_NOUN	735.00	0.61	5.08	True
merging_NOUN	735.00	0.61	5.08	True
plutonium_NOUN	735.00	0.61	5.08	True
glycopyrrolate_ADJ	735.00	0.61	5.08	True
haloperidol_NOUN	735.00	0.61	5.08	True
supercentenarian_NOUN	735.00	0.61	5.08	True
promedio_NOUN	735.00	0.61	5.08	True
millennial_ADJ	735.00	0.61	5.08	True
leiomodin_ADJ	735.00	0.61	5.08	True
tropomyosin_NOUN	735.00	0.61	5.08	True
marginalize_VERB	704.08	1.83	14.69	True
tdcs_NOUN	704.08	1.83	14.69	True
continued_ADJ	697.89	3.04	24.29	True
contractility_NOUN	688.61	1.22	9.60	True
preprocesse_VERB	688.61	1.22	9.60	True
ddcfdna_NOUN	688.61	1.22	9.60	True
avenue_NOUN	654.59	9.13	68.93	True
waveform_VERB	642.22	0.61	4.52	True
telomere_ADV	642.22	0.61	4.52	False
deflection_NOUN	642.22	0.61	4.52	True
breadth_NOUN	642.22	0.61	4.52	False
pvl_NOUN	642.22	0.61	4.52	True
tungsten_VERB	642.22	0.61	4.52	False
anthropology_NOUN	642.22	0.61	4.52	False
intuitive_ADJ	642.22	0.61	4.52	True
insert_ADJ	642.22	3.04	22.60	True
delineation_NOUN	642.22	0.61	4.52	False
endemism_NOUN	642.22	0.61	4.52	False
procedure_ADJ	642.22	0.61	4.52	True
multilayer_ADJ	642.22	0.61	4.52	False
