4	ubcgbtccg5im	12	0	36997
5	ubcgbtccg5im	14	0	57567
9	ubcgbtccg5im	26	1	50478
11	o8odpysxlr9y	29	0	19824
13	ubcgbtccg5im	11	0	32961
14	o8odpysxlr9y	11	0	16280
18	o8odpysxlr9y	5	1	19979
21	8iqq47uu6ztd	29	0	90296
22	o8odpysxlr9y	17	0	41614
23	ubcgbtccg5im	10	0	55841
27	o8odpysxlr9y	23	1	38849
29	8iqq47uu6ztd	16	1	59158
36	ubcgbtccg5im	9	1	73527
40	8iqq47uu6ztd	9	0	59277
42	ubcgbtccg5im	17	1	56416
43	o8odpysxlr9y	3	0	42083
46	o8odpysxlr9y	25	1	19226
47	8iqq47uu6ztd	1	1	67935
48	o8odpysxlr9y	8	1	22340
49	ubcgbtccg5im	6	1	52751
57	o8odpysxlr9y	15	1	61111
60	8iqq47uu6ztd	23	1	91865
64	o8odpysxlr9y	26	0	55848
68	o8odpysxlr9y	10	1	37428
72	ubcgbtccg5im	18	1	48868
74	o8odpysxlr9y	30	0	16605
77	8iqq47uu6ztd	14	1	127139
78	o8odpysxlr9y	9	0	22018
81	o8odpysxlr9y	18	0	18895
88	o8odpysxlr9y	13	1	34792
91	o8odpysxlr9y	21	1	19663
94	8iqq47uu6ztd	17	0	94338
95	ubcgbtccg5im	27	1	54652
99	o8odpysxlr9y	7	1	23684
102	ubcgbtccg5im	25	1	60899
105	8iqq47uu6ztd	22	1	96661
107	ubcgbtccg5im	28	0	64987
113	8iqq47uu6ztd	18	0	86909
114	ubcgbtccg5im	30	1	69115
116	ubcgbtccg5im	8	0	38742
117	8iqq47uu6ztd	20	0	69204
122	ubcgbtccg5im	22	0	80038
123	8iqq47uu6ztd	21	1	92376
126	wt9a07t6qpvx	20	1	420198
127	8iqq47uu6ztd	27	0	51196
128	ubcgbtccg5im	15	1	106984
130	wt9a07t6qpvx	22	1	52558
133	8iqq47uu6ztd	28	0	73412
136	wt9a07t6qpvx	14	1	46828
144	pvdcoybuflns	13	1	28145
145	affu8jv396kp	27	1	30497
146	wt9a07t6qpvx	11	1	42754
150	affu8jv396kp	11	1	21380
152	wt9a07t6qpvx	9	1	32662
153	pvdcoybuflns	8	1	37954
155	arr4rivtafw0	16	1	67926
158	affu8jv396kp	1	1	27922
159	wt9a07t6qpvx	21	1	19889
165	affu8jv396kp	12	0	18141
166	dp43ydsxu2kf	27	1	20105
167	8iqq47uu6ztd	30	1	138501
169	wt9a07t6qpvx	17	1	31879
170	affu8jv396kp	18	0	23746
174	arr4rivtafw0	4	1	64631
175	ubcgbtccg5im	1	1	114330
176	pvdcoybuflns	15	1	64662
178	wt9a07t6qpvx	5	0	29895
183	affu8jv396kp	21	0	36467
186	wt9a07t6qpvx	2	0	28095
187	affu8jv396kp	26	0	17775
188	pvdcoybuflns	26	0	37715
191	dp43ydsxu2kf	26	1	103069
194	wt9a07t6qpvx	15	0	40796
196	arr4rivtafw0	20	1	84686
202	ubcgbtccg5im	21	0	109234
203	pvdcoybuflns	21	0	65700
205	dp43ydsxu2kf	10	0	52554
206	arr4rivtafw0	21	0	46233
212	pvdcoybuflns	16	1	37875
217	wt9a07t6qpvx	23	0	67823
219	j2elfdbngadx	24	1	175138
220	dp43ydsxu2kf	8	1	63883
224	arr4rivtafw0	3	0	88670
233	ri425ah7uo4i	15	0	99206
234	wt9a07t6qpvx	12	0	60663
235	pvdcoybuflns	2	0	50125
